,interval start,interval end,newNTC
0,13.01.2019 23:00,14.01.2019 00:00,2850
1,14.01.2019 00:00,14.01.2019 01:00,2850
2,14.01.2019 01:00,14.01.2019 02:00,2850
3,14.01.2019 02:00,14.01.2019 03:00,2850
4,14.01.2019 03:00,14.01.2019 04:00,2850
5,14.01.2019 04:00,14.01.2019 05:00,2850
6,14.01.2019 05:00,14.01.2019 06:00,2850
7,14.01.2019 06:00,14.01.2019 07:00,2850
8,14.01.2019 07:00,14.01.2019 08:00,2850
9,14.01.2019 08:00,14.01.2019 09:00,2850
10,14.01.2019 09:00,14.01.2019 10:00,2850
11,14.01.2019 10:00,14.01.2019 11:00,2850
12,14.01.2019 11:00,14.01.2019 12:00,2850
13,14.01.2019 12:00,14.01.2019 13:00,2850
14,14.01.2019 13:00,14.01.2019 14:00,2850
15,14.01.2019 14:00,14.01.2019 15:00,2850
16,14.01.2019 15:00,14.01.2019 16:00,2850
17,14.01.2019 16:00,14.01.2019 17:00,2850
18,14.01.2019 17:00,14.01.2019 18:00,2850
19,14.01.2019 18:00,14.01.2019 19:00,2850
20,14.01.2019 19:00,14.01.2019 20:00,2850
21,14.01.2019 20:00,14.01.2019 21:00,2850
22,14.01.2019 21:00,14.01.2019 22:00,2850
23,14.01.2019 22:00,14.01.2019 23:00,2850
24,14.01.2019 23:00,15.01.2019 00:00,2850
25,15.01.2019 00:00,15.01.2019 01:00,2850
26,15.01.2019 01:00,15.01.2019 02:00,2850
27,15.01.2019 02:00,15.01.2019 03:00,2850
28,15.01.2019 03:00,15.01.2019 04:00,2850
29,15.01.2019 04:00,15.01.2019 05:00,2850
30,15.01.2019 05:00,15.01.2019 06:00,2850
31,15.01.2019 06:00,15.01.2019 07:00,2850
32,15.01.2019 07:00,15.01.2019 08:00,2850
33,15.01.2019 08:00,15.01.2019 09:00,2850
34,15.01.2019 09:00,15.01.2019 10:00,2850
35,15.01.2019 10:00,15.01.2019 11:00,2850
36,15.01.2019 11:00,15.01.2019 12:00,2850
37,15.01.2019 12:00,15.01.2019 13:00,2850
38,15.01.2019 13:00,15.01.2019 14:00,2850
39,15.01.2019 14:00,15.01.2019 15:00,2850
40,15.01.2019 15:00,15.01.2019 16:00,2850
41,15.01.2019 16:00,15.01.2019 17:00,2850
42,15.01.2019 17:00,15.01.2019 18:00,2850
43,15.01.2019 18:00,15.01.2019 19:00,2850
44,15.01.2019 19:00,15.01.2019 20:00,2850
45,15.01.2019 20:00,15.01.2019 21:00,2850
46,15.01.2019 21:00,15.01.2019 22:00,2850
47,15.01.2019 22:00,15.01.2019 23:00,2850
48,15.01.2019 23:00,16.01.2019 00:00,2850
49,16.01.2019 00:00,16.01.2019 01:00,2850
50,16.01.2019 01:00,16.01.2019 02:00,2850
51,16.01.2019 02:00,16.01.2019 03:00,2850
52,16.01.2019 03:00,16.01.2019 04:00,2850
53,16.01.2019 04:00,16.01.2019 05:00,2850
54,16.01.2019 05:00,16.01.2019 06:00,2850
55,16.01.2019 06:00,16.01.2019 07:00,2850
56,16.01.2019 07:00,16.01.2019 08:00,2850
57,16.01.2019 08:00,16.01.2019 09:00,2850
58,16.01.2019 09:00,16.01.2019 10:00,2850
59,16.01.2019 10:00,16.01.2019 11:00,2850
60,16.01.2019 11:00,16.01.2019 12:00,2850
61,16.01.2019 12:00,16.01.2019 13:00,2850
62,16.01.2019 13:00,16.01.2019 14:00,2850
63,16.01.2019 14:00,16.01.2019 15:00,2850
64,16.01.2019 15:00,16.01.2019 16:00,2850
65,16.01.2019 16:00,16.01.2019 17:00,2850
66,16.01.2019 17:00,16.01.2019 18:00,2850
67,16.01.2019 18:00,16.01.2019 19:00,2850
68,16.01.2019 19:00,16.01.2019 20:00,2850
69,16.01.2019 20:00,16.01.2019 21:00,2850
70,16.01.2019 21:00,16.01.2019 22:00,2850
71,16.01.2019 22:00,16.01.2019 23:00,2850
72,16.01.2019 23:00,17.01.2019 00:00,2850
73,17.01.2019 00:00,17.01.2019 01:00,2850
74,17.01.2019 01:00,17.01.2019 02:00,2850
75,17.01.2019 02:00,17.01.2019 03:00,2850
76,17.01.2019 03:00,17.01.2019 04:00,2850
77,17.01.2019 04:00,17.01.2019 05:00,2850
78,17.01.2019 05:00,17.01.2019 06:00,2850
79,17.01.2019 06:00,17.01.2019 07:00,2850
80,17.01.2019 07:00,17.01.2019 08:00,2850
81,17.01.2019 08:00,17.01.2019 09:00,2850
82,17.01.2019 09:00,17.01.2019 10:00,2850
83,17.01.2019 10:00,17.01.2019 11:00,2850
84,17.01.2019 11:00,17.01.2019 12:00,2850
85,17.01.2019 12:00,17.01.2019 13:00,2850
86,17.01.2019 13:00,17.01.2019 14:00,2850
87,17.01.2019 14:00,17.01.2019 15:00,2850
88,17.01.2019 15:00,17.01.2019 16:00,2850
89,17.01.2019 16:00,17.01.2019 17:00,2850
90,17.01.2019 17:00,17.01.2019 18:00,2850
91,17.01.2019 18:00,17.01.2019 19:00,2850
92,17.01.2019 19:00,17.01.2019 20:00,2850
93,17.01.2019 20:00,17.01.2019 21:00,2850
94,17.01.2019 21:00,17.01.2019 22:00,2850
95,17.01.2019 22:00,17.01.2019 23:00,2850
96,17.01.2019 23:00,18.01.2019 00:00,2850
97,18.01.2019 00:00,18.01.2019 01:00,2850
98,18.01.2019 01:00,18.01.2019 02:00,2850
99,18.01.2019 02:00,18.01.2019 03:00,2850
