,interval start,interval end,newNTC
0,13.01.2019 23:00,14.01.2019 00:00,2450
1,14.01.2019 00:00,14.01.2019 01:00,2450
2,14.01.2019 01:00,14.01.2019 02:00,2450
3,14.01.2019 02:00,14.01.2019 03:00,2450
4,14.01.2019 03:00,14.01.2019 04:00,2450
5,14.01.2019 04:00,14.01.2019 05:00,2450
6,14.01.2019 05:00,14.01.2019 06:00,2450
7,14.01.2019 06:00,14.01.2019 07:00,2450
8,14.01.2019 07:00,14.01.2019 08:00,2450
9,14.01.2019 08:00,14.01.2019 09:00,2450
10,14.01.2019 09:00,14.01.2019 10:00,2450
11,14.01.2019 10:00,14.01.2019 11:00,2450
12,14.01.2019 11:00,14.01.2019 12:00,2450
13,14.01.2019 12:00,14.01.2019 13:00,2450
14,14.01.2019 13:00,14.01.2019 14:00,2450
15,14.01.2019 14:00,14.01.2019 15:00,2450
16,14.01.2019 15:00,14.01.2019 16:00,2450
17,14.01.2019 16:00,14.01.2019 17:00,2450
18,14.01.2019 17:00,14.01.2019 18:00,2450
19,14.01.2019 18:00,14.01.2019 19:00,2450
20,14.01.2019 19:00,14.01.2019 20:00,2450
21,14.01.2019 20:00,14.01.2019 21:00,2450
22,14.01.2019 21:00,14.01.2019 22:00,2450
23,14.01.2019 22:00,14.01.2019 23:00,2450
24,14.01.2019 23:00,15.01.2019 00:00,2450
25,15.01.2019 00:00,15.01.2019 01:00,2450
26,15.01.2019 01:00,15.01.2019 02:00,2450
27,15.01.2019 02:00,15.01.2019 03:00,2450
28,15.01.2019 03:00,15.01.2019 04:00,2450
29,15.01.2019 04:00,15.01.2019 05:00,2450
30,15.01.2019 05:00,15.01.2019 06:00,2450
31,15.01.2019 06:00,15.01.2019 07:00,2450
32,15.01.2019 07:00,15.01.2019 08:00,2450
33,15.01.2019 08:00,15.01.2019 09:00,2450
34,15.01.2019 09:00,15.01.2019 10:00,2450
35,15.01.2019 10:00,15.01.2019 11:00,2450
36,15.01.2019 11:00,15.01.2019 12:00,2450
37,15.01.2019 12:00,15.01.2019 13:00,2450
38,15.01.2019 13:00,15.01.2019 14:00,2450
39,15.01.2019 14:00,15.01.2019 15:00,2450
40,15.01.2019 15:00,15.01.2019 16:00,2450
41,15.01.2019 16:00,15.01.2019 17:00,2450
42,15.01.2019 17:00,15.01.2019 18:00,2450
43,15.01.2019 18:00,15.01.2019 19:00,2450
44,15.01.2019 19:00,15.01.2019 20:00,2450
45,15.01.2019 20:00,15.01.2019 21:00,2450
46,15.01.2019 21:00,15.01.2019 22:00,2450
47,15.01.2019 22:00,15.01.2019 23:00,2450
48,15.01.2019 23:00,16.01.2019 00:00,2450
49,16.01.2019 00:00,16.01.2019 01:00,2450
50,16.01.2019 01:00,16.01.2019 02:00,2450
51,16.01.2019 02:00,16.01.2019 03:00,2450
52,16.01.2019 03:00,16.01.2019 04:00,2450
53,16.01.2019 04:00,16.01.2019 05:00,2450
54,16.01.2019 05:00,16.01.2019 06:00,2450
55,16.01.2019 06:00,16.01.2019 07:00,2450
56,16.01.2019 07:00,16.01.2019 08:00,2450
57,16.01.2019 08:00,16.01.2019 09:00,2450
58,16.01.2019 09:00,16.01.2019 10:00,2450
59,16.01.2019 10:00,16.01.2019 11:00,2450
60,16.01.2019 11:00,16.01.2019 12:00,2450
61,16.01.2019 12:00,16.01.2019 13:00,2450
62,16.01.2019 13:00,16.01.2019 14:00,2450
63,16.01.2019 14:00,16.01.2019 15:00,2450
64,16.01.2019 15:00,16.01.2019 16:00,2450
65,16.01.2019 16:00,16.01.2019 17:00,2450
66,16.01.2019 17:00,16.01.2019 18:00,2450
67,16.01.2019 18:00,16.01.2019 19:00,2450
68,16.01.2019 19:00,16.01.2019 20:00,2450
69,16.01.2019 20:00,16.01.2019 21:00,2450
70,16.01.2019 21:00,16.01.2019 22:00,2450
71,16.01.2019 22:00,16.01.2019 23:00,2450
72,16.01.2019 23:00,17.01.2019 00:00,2450
73,17.01.2019 00:00,17.01.2019 01:00,2450
74,17.01.2019 01:00,17.01.2019 02:00,2450
75,17.01.2019 02:00,17.01.2019 03:00,2450
76,17.01.2019 03:00,17.01.2019 04:00,2450
77,17.01.2019 04:00,17.01.2019 05:00,2450
78,17.01.2019 05:00,17.01.2019 06:00,2450
79,17.01.2019 06:00,17.01.2019 07:00,2450
80,17.01.2019 07:00,17.01.2019 08:00,2450
81,17.01.2019 08:00,17.01.2019 09:00,2450
82,17.01.2019 09:00,17.01.2019 10:00,2450
83,17.01.2019 10:00,17.01.2019 11:00,2450
84,17.01.2019 11:00,17.01.2019 12:00,2450
85,17.01.2019 12:00,17.01.2019 13:00,2450
86,17.01.2019 13:00,17.01.2019 14:00,2450
87,17.01.2019 14:00,17.01.2019 15:00,2450
88,17.01.2019 15:00,17.01.2019 16:00,2450
89,17.01.2019 16:00,17.01.2019 17:00,2450
90,17.01.2019 17:00,17.01.2019 18:00,2450
91,17.01.2019 18:00,17.01.2019 19:00,2450
92,17.01.2019 19:00,17.01.2019 20:00,2450
93,17.01.2019 20:00,17.01.2019 21:00,2450
94,17.01.2019 21:00,17.01.2019 22:00,2450
95,17.01.2019 22:00,17.01.2019 23:00,2450
96,17.01.2019 23:00,18.01.2019 00:00,2450
97,18.01.2019 00:00,18.01.2019 01:00,2450
98,18.01.2019 01:00,18.01.2019 02:00,2450
99,18.01.2019 02:00,18.01.2019 03:00,2450
