,interval start,interval end,newNTC
0,14.01.2019 00:00,14.01.2019 01:00,3350
1,14.01.2019 01:00,14.01.2019 02:00,3350
2,14.01.2019 02:00,14.01.2019 03:00,3350
3,14.01.2019 03:00,14.01.2019 04:00,3350
4,14.01.2019 04:00,14.01.2019 05:00,3350
5,14.01.2019 05:00,14.01.2019 06:00,3350
6,14.01.2019 06:00,14.01.2019 07:00,3350
7,14.01.2019 07:00,14.01.2019 08:00,3350
8,14.01.2019 08:00,14.01.2019 09:00,3350
9,14.01.2019 09:00,14.01.2019 10:00,3350
10,14.01.2019 10:00,14.01.2019 11:00,3350
11,14.01.2019 11:00,14.01.2019 12:00,3350
12,14.01.2019 12:00,14.01.2019 13:00,3350
13,14.01.2019 13:00,14.01.2019 14:00,3350
14,14.01.2019 14:00,14.01.2019 15:00,3350
15,14.01.2019 15:00,14.01.2019 16:00,3350
16,14.01.2019 16:00,14.01.2019 17:00,3350
17,14.01.2019 17:00,14.01.2019 18:00,3350
18,14.01.2019 18:00,14.01.2019 19:00,3350
19,14.01.2019 19:00,14.01.2019 20:00,3350
20,14.01.2019 20:00,14.01.2019 21:00,3350
21,14.01.2019 21:00,14.01.2019 22:00,3350
22,14.01.2019 22:00,14.01.2019 23:00,3350
23,14.01.2019 23:00,15.01.2019 00:00,3350
24,15.01.2019 00:00,15.01.2019 01:00,3350
25,15.01.2019 01:00,15.01.2019 02:00,3350
26,15.01.2019 02:00,15.01.2019 03:00,3350
27,15.01.2019 03:00,15.01.2019 04:00,3350
28,15.01.2019 04:00,15.01.2019 05:00,3350
29,15.01.2019 05:00,15.01.2019 06:00,3350
30,15.01.2019 06:00,15.01.2019 07:00,3350
31,15.01.2019 07:00,15.01.2019 08:00,3350
32,15.01.2019 08:00,15.01.2019 09:00,3350
33,15.01.2019 09:00,15.01.2019 10:00,3350
34,15.01.2019 10:00,15.01.2019 11:00,3350
35,15.01.2019 11:00,15.01.2019 12:00,3350
36,15.01.2019 12:00,15.01.2019 13:00,3350
37,15.01.2019 13:00,15.01.2019 14:00,3350
38,15.01.2019 14:00,15.01.2019 15:00,3350
39,15.01.2019 15:00,15.01.2019 16:00,3350
40,15.01.2019 16:00,15.01.2019 17:00,3350
41,15.01.2019 17:00,15.01.2019 18:00,3350
42,15.01.2019 18:00,15.01.2019 19:00,3350
43,15.01.2019 19:00,15.01.2019 20:00,3350
44,15.01.2019 20:00,15.01.2019 21:00,3350
45,15.01.2019 21:00,15.01.2019 22:00,3350
46,15.01.2019 22:00,15.01.2019 23:00,3350
47,15.01.2019 23:00,16.01.2019 00:00,3350
48,16.01.2019 00:00,16.01.2019 01:00,3350
49,16.01.2019 01:00,16.01.2019 02:00,3350
50,16.01.2019 02:00,16.01.2019 03:00,3350
51,16.01.2019 03:00,16.01.2019 04:00,3350
52,16.01.2019 04:00,16.01.2019 05:00,3350
53,16.01.2019 05:00,16.01.2019 06:00,3350
54,16.01.2019 06:00,16.01.2019 07:00,3350
55,16.01.2019 07:00,16.01.2019 08:00,3350
56,16.01.2019 08:00,16.01.2019 09:00,3350
57,16.01.2019 09:00,16.01.2019 10:00,3350
58,16.01.2019 10:00,16.01.2019 11:00,3350
59,16.01.2019 11:00,16.01.2019 12:00,3350
60,16.01.2019 12:00,16.01.2019 13:00,3350
61,16.01.2019 13:00,16.01.2019 14:00,3350
62,16.01.2019 14:00,16.01.2019 15:00,3350
63,16.01.2019 15:00,16.01.2019 16:00,3350
64,16.01.2019 16:00,16.01.2019 17:00,3350
65,16.01.2019 17:00,16.01.2019 18:00,3350
66,16.01.2019 18:00,16.01.2019 19:00,3350
67,16.01.2019 19:00,16.01.2019 20:00,3350
68,16.01.2019 20:00,16.01.2019 21:00,3350
69,16.01.2019 21:00,16.01.2019 22:00,3350
70,16.01.2019 22:00,16.01.2019 23:00,3350
71,16.01.2019 23:00,17.01.2019 00:00,3350
72,17.01.2019 00:00,17.01.2019 01:00,3350
73,17.01.2019 01:00,17.01.2019 02:00,3350
74,17.01.2019 02:00,17.01.2019 03:00,3350
75,17.01.2019 03:00,17.01.2019 04:00,3350
76,17.01.2019 04:00,17.01.2019 05:00,3350
77,17.01.2019 05:00,17.01.2019 06:00,3350
78,17.01.2019 06:00,17.01.2019 07:00,3350
79,17.01.2019 07:00,17.01.2019 08:00,3350
80,17.01.2019 08:00,17.01.2019 09:00,3350
81,17.01.2019 09:00,17.01.2019 10:00,3350
82,17.01.2019 10:00,17.01.2019 11:00,3350
83,17.01.2019 11:00,17.01.2019 12:00,3350
84,17.01.2019 12:00,17.01.2019 13:00,3350
85,17.01.2019 13:00,17.01.2019 14:00,3350
86,17.01.2019 14:00,17.01.2019 15:00,3350
87,17.01.2019 15:00,17.01.2019 16:00,3350
88,17.01.2019 16:00,17.01.2019 17:00,3350
89,17.01.2019 17:00,17.01.2019 18:00,3350
90,17.01.2019 18:00,17.01.2019 19:00,3350
91,17.01.2019 19:00,17.01.2019 20:00,3350
92,17.01.2019 20:00,17.01.2019 21:00,3350
93,17.01.2019 21:00,17.01.2019 22:00,3350
94,17.01.2019 22:00,17.01.2019 23:00,3350
95,17.01.2019 23:00,18.01.2019 00:00,3350
96,18.01.2019 00:00,18.01.2019 01:00,3350
97,18.01.2019 01:00,18.01.2019 02:00,3350
98,18.01.2019 02:00,18.01.2019 03:00,3350
99,18.01.2019 03:00,18.01.2019 04:00,3350
