,interval start,interval end,newNTC
0,14.01.2019 09:00,14.01.2019 10:00,2700
1,14.01.2019 10:00,14.01.2019 11:00,2700
2,14.01.2019 11:00,14.01.2019 12:00,2700
3,14.01.2019 12:00,14.01.2019 13:00,2700
4,14.01.2019 13:00,14.01.2019 14:00,2700
5,14.01.2019 14:00,14.01.2019 15:00,2700
6,14.01.2019 15:00,14.01.2019 16:00,2700
7,14.01.2019 16:00,14.01.2019 17:00,2700
8,14.01.2019 17:00,14.01.2019 18:00,2700
9,14.01.2019 18:00,14.01.2019 19:00,2700
10,14.01.2019 19:00,14.01.2019 20:00,2700
11,14.01.2019 20:00,14.01.2019 21:00,2700
12,14.01.2019 21:00,14.01.2019 22:00,2700
13,14.01.2019 22:00,14.01.2019 23:00,2700
14,14.01.2019 23:00,15.01.2019 00:00,2600
15,15.01.2019 00:00,15.01.2019 01:00,2600
16,15.01.2019 01:00,15.01.2019 02:00,2400
17,15.01.2019 02:00,15.01.2019 03:00,2400
18,15.01.2019 03:00,15.01.2019 04:00,2400
19,15.01.2019 04:00,15.01.2019 05:00,2400
20,15.01.2019 05:00,15.01.2019 06:00,2400
21,15.01.2019 06:00,15.01.2019 07:00,2400
22,15.01.2019 07:00,15.01.2019 08:00,2700
23,15.01.2019 08:00,15.01.2019 09:00,2700
24,15.01.2019 09:00,15.01.2019 10:00,2700
25,15.01.2019 10:00,15.01.2019 11:00,2700
26,15.01.2019 11:00,15.01.2019 12:00,2700
27,15.01.2019 12:00,15.01.2019 13:00,2700
28,15.01.2019 13:00,15.01.2019 14:00,2700
29,15.01.2019 14:00,15.01.2019 15:00,2700
30,15.01.2019 15:00,15.01.2019 16:00,2700
31,15.01.2019 16:00,15.01.2019 17:00,2700
32,15.01.2019 17:00,15.01.2019 18:00,2700
33,15.01.2019 18:00,15.01.2019 19:00,2700
34,15.01.2019 19:00,15.01.2019 20:00,2700
35,15.01.2019 20:00,15.01.2019 21:00,2700
36,15.01.2019 21:00,15.01.2019 22:00,2700
37,15.01.2019 22:00,15.01.2019 23:00,2700
38,15.01.2019 23:00,16.01.2019 00:00,2600
39,16.01.2019 00:00,16.01.2019 01:00,2600
40,16.01.2019 01:00,16.01.2019 02:00,2400
41,16.01.2019 02:00,16.01.2019 03:00,2400
42,16.01.2019 03:00,16.01.2019 04:00,2400
43,16.01.2019 04:00,16.01.2019 05:00,2400
44,16.01.2019 05:00,16.01.2019 06:00,2400
45,16.01.2019 06:00,16.01.2019 07:00,2400
46,16.01.2019 07:00,16.01.2019 08:00,2700
47,16.01.2019 08:00,16.01.2019 09:00,2700
48,16.01.2019 09:00,16.01.2019 10:00,2700
49,16.01.2019 10:00,16.01.2019 11:00,2700
50,16.01.2019 11:00,16.01.2019 12:00,2700
51,16.01.2019 12:00,16.01.2019 13:00,2700
52,16.01.2019 13:00,16.01.2019 14:00,2700
53,16.01.2019 14:00,16.01.2019 15:00,2700
54,16.01.2019 15:00,16.01.2019 16:00,2700
55,16.01.2019 16:00,16.01.2019 17:00,2700
56,16.01.2019 17:00,16.01.2019 18:00,2700
