,interval start,interval end,newNTC
0,14.01.2019 09:00,14.01.2019 10:00,2100
1,14.01.2019 10:00,14.01.2019 11:00,2100
2,14.01.2019 11:00,14.01.2019 12:00,2050
3,14.01.2019 12:00,14.01.2019 13:00,2100
4,14.01.2019 13:00,14.01.2019 14:00,2100
5,14.01.2019 14:00,14.01.2019 15:00,2100
6,14.01.2019 15:00,14.01.2019 16:00,2100
7,14.01.2019 16:00,14.01.2019 17:00,2100
8,14.01.2019 17:00,14.01.2019 18:00,2050
9,14.01.2019 18:00,14.01.2019 19:00,2050
10,14.01.2019 19:00,14.01.2019 20:00,2050
11,14.01.2019 20:00,14.01.2019 21:00,2100
12,14.01.2019 21:00,14.01.2019 22:00,2100
13,14.01.2019 22:00,14.01.2019 23:00,2050
14,14.01.2019 23:00,15.01.2019 00:00,2050
15,15.01.2019 00:00,15.01.2019 01:00,2050
16,15.01.2019 01:00,15.01.2019 02:00,2550
17,15.01.2019 02:00,15.01.2019 03:00,2550
18,15.01.2019 03:00,15.01.2019 04:00,2550
19,15.01.2019 04:00,15.01.2019 05:00,2550
20,15.01.2019 05:00,15.01.2019 06:00,2550
21,15.01.2019 06:00,15.01.2019 07:00,2200
22,15.01.2019 07:00,15.01.2019 08:00,2050
23,15.01.2019 08:00,15.01.2019 09:00,2050
24,15.01.2019 09:00,15.01.2019 10:00,2100
25,15.01.2019 10:00,15.01.2019 11:00,2100
26,15.01.2019 11:00,15.01.2019 12:00,2050
27,15.01.2019 12:00,15.01.2019 13:00,2100
28,15.01.2019 13:00,15.01.2019 14:00,2100
29,15.01.2019 14:00,15.01.2019 15:00,2100
30,15.01.2019 15:00,15.01.2019 16:00,2100
31,15.01.2019 16:00,15.01.2019 17:00,2100
32,15.01.2019 17:00,15.01.2019 18:00,2050
33,15.01.2019 18:00,15.01.2019 19:00,2050
34,15.01.2019 19:00,15.01.2019 20:00,2050
35,15.01.2019 20:00,15.01.2019 21:00,2100
36,15.01.2019 21:00,15.01.2019 22:00,2100
37,15.01.2019 22:00,15.01.2019 23:00,2050
38,15.01.2019 23:00,16.01.2019 00:00,2050
39,16.01.2019 00:00,16.01.2019 01:00,2050
40,16.01.2019 01:00,16.01.2019 02:00,2550
41,16.01.2019 02:00,16.01.2019 03:00,2550
42,16.01.2019 03:00,16.01.2019 04:00,2550
43,16.01.2019 04:00,16.01.2019 05:00,2550
44,16.01.2019 05:00,16.01.2019 06:00,2550
45,16.01.2019 06:00,16.01.2019 07:00,2200
46,16.01.2019 07:00,16.01.2019 08:00,2050
47,16.01.2019 08:00,16.01.2019 09:00,2050
48,16.01.2019 09:00,16.01.2019 10:00,2100
49,16.01.2019 10:00,16.01.2019 11:00,2100
50,16.01.2019 11:00,16.01.2019 12:00,2050
51,16.01.2019 12:00,16.01.2019 13:00,2100
52,16.01.2019 13:00,16.01.2019 14:00,2100
53,16.01.2019 14:00,16.01.2019 15:00,2100
54,16.01.2019 15:00,16.01.2019 16:00,2100
55,16.01.2019 16:00,16.01.2019 17:00,2100
56,16.01.2019 17:00,16.01.2019 18:00,2050
